dev_loginname	proj_unixname	is_admin	position
thierryc	csstidy	0	Porter (Cross Platform Devel.)
sined_	csstidy	0	Developer
floele	csstidy	1	Developer
edwardzyang	csstidy	0	Developer
brettz9	csstidy	0	Developer
msiennicki	cssl	1	
vorlath	csregex	1	
yoonkit	csopf	1	Project Manager
nickseng	csopf	0	All-Hands Person
ultralight32	csopengl	1	
smirk-	csocket	1	All-Hands Person
laurentd	csocket	1	
aglaforge	cslogger	1	
ucbmike	csk	0	Developer
overmind911	csk	0	Developer
lordarchaon	csk	0	Developer
graphite13	csk	1	Developer
aqsalter	csk	1	Doc Writer
rajivdas	csiniparser	0	Developer
dafmyns	csiniparser	1	
triso	cshroud	1	
wilow	csharped	1	
turchinc	csharp-studio	0	Developer
sdemiray	csharp-studio	1	All-Hands Person
lsh123	csharp-studio	1	Developer
drakmar	csharp-logger	1	
poclea	cserver	0	Developer
hbs	cserver	1	Project Manager
davidturner	cserver	0	Developer
jsf	cser	1	
yawnsoftware	csdl	1	
uzi	cscope	0	Developer
petr	cscope	1	Developer
nhorman	cscope	0	Developer
ms140569	cscope	0	Developer
jcduell	cscope	0	Developer
hops1	cscope	0	Developer
darrylo	cscope	0	Developer
broeker	cscope	1	Project Manager
korous	cscodedomparser	0	Developer
ivan_zderadicka	cscodedomparser	1	
wij2	cscall	1	
uschaefer_	cscache	1	
vailaya	csbi	0	Developer
stair	csbi	0	Developer
schwikowski	csbi	0	Developer
rsheridan	csbi	0	Developer
rowanxmas	csbi	1	Developer
rmkelley	csbi	0	Developer
pedlefsen	csbi	1	Developer
nerius	csbi	0	
mes5k	csbi	0	Developer
lkamenko	csbi	0	
james_angelo	csbi	0	Developer
iavila	csbi	0	Developer
gbader	csbi	0	
ffee21	csbi	0	Developer
ecerami	csbi	0	
amarkiel	csbi	0	Developer
allan_kuchinsky	csbi	0	Developer
mats101	cs-school	1	Project Manager
jannelund	cs-school	0	Developer
diphel	cs-school	0	Developer
carrzkiss	cs-school	0	Developer
stevenrd	cs-openal	1	
stevenrd	cs-ode	1	
taykwana	cs-adforms	1	
hhonisch	crystaledit	1	
nymble	cryptopy	1	
ultimoamore	crudelia	1	Project Manager
thomashuijer	crplugin	0	Developer
rorybecker	crplugin	1	Developer
purpleant	crplugin	0	Developer
lockecj	crplugin	0	Developer
dotnetrulez	crplugin	0	Advisor/Mentor/Consultant
cbilson	crplugin	0	
brandonh6k	crplugin	1	Project Manager
tokoe82	crosswater	1	
pandur	crosswater	1	
dr_maux	crosswater	0	
isemenov	crosstypes	1	
warlok	crossrec	0	Developer
ulflarsen	crossrec	0	All-Hands Person
koroglu	crossrec	0	Developer
crsource	crossrec	1	Developer
wsy	crm114	1	All-Hands Person
vanbaal	crm114	1	Developer
schhabra	crm114	1	Developer
popovich	crm114	1	
oopla	crm114	0	Developer
nkadel	crm114	0	Developer
moth	crm114	0	Developer
i_a	crm114	0	Porter (Cross Platform Devel.)
fsga	crm114	1	
dj_segfault	crm114	1	All-Hands Person
julienmuller	creme	0	
dbregeon	creme	1	Project Manager
jasonmr	credits	1	
morpheus2matrix	creative-portal	1	Project Manager
create-info	create-info	1	
smiitd	cranks	0	Advisor/Mentor/Consultant
aravindalwan	cranks	1	Project Manager
akshatgupta	cranks	0	
alx27	cpnightmare	1	
nero_couvalli	cppdatastructs	0	Web Designer
ikoniari	cppdatastructs	1	
whitten	cpw	1	
bshanks	cpw	1	Developer
jtoledo	cpstools	1	
cthuang	cproto	1	
emile	cprof	1	
kjinnovation	cpputilities	1	
ecosta76	cpptools	0	Developer
aguiar	cpptools	1	
w3seek	cpptoccmt	1	
msobczak	cpptk	1	
mloskot	cpptk	0	Developer
uly56	cpptestkit	1	
nilu	cpptest	1	
hartwork	cpptest	1	
msobczak	cpptcl	1	
urbanek	cppsphinxclient	1	Developer
honkir	cppsphinxclient	1	
kvanals	cppschool	1	
zedpobre	cppopt	1	
dcbill	cppisf	0	Developer
ajwans	cppisf	1	
felipe_almeida	cppgui	1	
daniel-kun	cppfunctor	1	
dashohoxha	cppdom	1	No specific role
headpigeons	cppdoc	1	
intmain	cppdevedit	1	
tvsudheendra	cppdbunit	0	Developer
prasadsurve	cppdbunit	1	Project Manager
chitoiup	cppcommandline	1	
dmarian	cppcback	1	
robertalmeida	cppagi	1	
nodet	cpp2rtf	1	
vesa_karvonen	cpp-unit	1	
alexvn	cpp-sockets	1	
alexvn	cpp-perfometer	1	
kibalin	cpp-experiment	1	Web Designer
alnsn	cpp-experiment	1	Developer
pmuellr	cpost	1	Project Manager
patoski	cpolib	1	All-Hands Person
grimicus	cpolib	1	Developer
blprice	cpolib	1	Project Manager
pattyd19	cpo	0	Developer
mad191	cpo	0	Developer
jcolson	cpo	1	Developer
efedok	cpo	0	Developer
berryware	cpo	1	Developer
omega1016	cpnmouse	0	Developer
mwestergaard	cpnmouse	1	Project Manager
jstookey	cpnmouse	0	Developer
labcn243	cplab3	1	
boriaw	cplab3	1	Project Manager
svenreul	cphplib	0	Developer
mr3dblond	cphplib	1	Project Manager
qiminghe	cpetstore	1	All-Hands Person
mchirico	cpearls	1	
tzz	cpanplus	0	
mbarbon	cpanplus	0	Tester
kudra	cpanplus	0	Doc Writer
jambe2	cpanplus	1	Developer
co-kane	cpanplus	1	Project Manager
autrijus	cpanplus	0	Requirements Engineering
pudge	cpan-mac	1	
tworems	cosa	0	
phackwer	cosa	1	
caioflucena	cosa	0	
m_peter	continuumscire	1	
holzert	collada2raw	1	
heiligg	collada2raw	1	All-Hands Person
romanovs	cofelib	1	
ycollet	coas	1	
enrico_granata	commandline	1	
ukimi367	copads	0	Developer
tkubaska	copads	0	Doc Writer
mauriceling	copads	1	
ckirkendall	copads	0	Developer
sarang_bh	codedit	1	Developer
nicolodavis	codedit	1	
ken_vh	cow	1	
covibli	covibli	1	
visusnet	covi	1	
liuxuan01	countword	1	
elena_lepko	countsoftprice	0	
adamian	countsoftprice	1	
hwiechers	countlines-py	1	Developer
stevevance	cougar	0	Developer
shamsian	cougar	0	Developer
rsalazar	cougar	0	Developer
jean_paul_33	cougar	0	Developer
coder90210	cougar	1	All-Hands Person
coachvargo	cougar	0	Developer
tcarrico	cougaar	1	Project Manager
ostersc	cougaar	1	Project Manager
x6e6562	cotton	1	
zheng_li	cothreads	1	
mckeown_paul	cosi-dot-net	1	Developer
gstuart	cosi-dot-net	1	Project Manager
vrinda	cosf	0	Developer
qu236161	cosf	0	Developer
paulmcdermott74	cosf	0	Developer
livedev	cosf	0	Developer
iamaphpfreak	cosf	0	Developer
cogardig	cosf	1	Project Manager
maxtuno	corsolas	1	
irosales	corsolas	1	Developer
wrpddx	corps	1	Developer
wendelmaques	corps	1	Developer
arcl	corps	1	Project Manager
maurotaveira	coronelado	0	Developer
fernandoribeiro	coronelado	1	
pokqwd	coreserver	1	
ikoniari	corepyexe	1	
prudhomm	corelinux	0	All-Hands Person
frankiec	corelinux	1	
frankc	corelinux	1	All-Hands Person
dalesbc	corelinux	0	Developer
vraalsen	coras	1	Developer
stigtors	coras	1	Developer
shaozhiy	coras	0	Developer
gyrd	coras	1	Project Manager
fvrsintef	coras	1	
fsesintef	coras	0	Developer
macc68	coralfsp	1	
toninonino	copt	1	
ypeeters	cooleclipse	1	Developer
oolmc	cooleclipse	1	
lannb	cooleclipse	1	Developer
cooldev	cooldev	1	
odiobill	cookieauth	1	
nopfnopf	conxult	0	Developer
hogi	conxult	1	Project Manager
amperp	convertdatetime	1	
eljay	controlit	1	Analysis / Design
campus	controlit	1	
bobafett	controlit	0	
swizin	controlfreak	1	
pmiller	contrast	1	
baruchel	contfrac	1	
maxime2	conststring	1	
alnsn	conststring	0	
xtraverse	construct	0	Developer
davidclark	construct	0	Developer
ashleysbrain	construct	1	
ectotropic	consolua	1	
shurugwi	command4net	1	No specific role
natielocke	command4net	1	
vklein	console-colors	1	
lloydxx	cono	1	Project Manager
cs410	cono	1	
stephaneerard	connected	1	
connect5d	connect5d	1	
paintguy67	connect4swt	1	
debscribe	conlib	1	
mol1111	conio	1	
cabaj	congaconfig	1	Developer
petergangzhang	confucius	1	
pax09	configrw	1	
henryn73	configmanager	1	
romanenco	configloader	1	
dmgass	config-py	1	
shadow00	config-plus	1	
ddumont	config-model	1	
clarsonneur	config-model	1	All-Hands Person
wadg	config-inifiles	1	Advisor/Mentor/Consultant
ta2	config-inifiles	0	No specific role
shlomif	config-inifiles	1	Developer
rbowen	config-inifiles	1	Advisor/Mentor/Consultant
neuhaus	config-inifiles	1	Project Manager
grail	config-inifiles	1	Developer
domq	config-inifiles	0	Developer
avatar	config-inifiles	0	Developer
knesbitt	conduitmanager	0	
edankert	conduitmanager	1	
ivan_r_moore	condenser	1	
sscherf	concur	1	
thomas_scherm	concern	0	Requirements Engineering
stephanschuster	concern	0	Developer
shaensch	concern	0	Developer
sebnozzi	concern	0	Developer
rmalitz	concern	0	Developer
r_doering	concern	0	Developer
nebulosu	concern	0	Developer
leonchiver	concern	0	Developer
jdenzel	concern	0	Developer
hzeller	concern	0	Developer
hengels	concern	1	
gohrke	concern	0	Developer
florianroks	concern	0	Developer
anodos	concern	0	Developer
sylverboss	concentre-xml	0	Developer
roman_huditsch	concentre-xml	0	Developer
oancea	concentre-xml	0	Translator (I18N/L10N)
kaloudoff	concentre-xml	0	Unix Admin
inwe	concentre-xml	0	
crocodile2u	concentre-xml	0	Translator (I18N/L10N)
cramatte	concentre-xml	1	Project Manager
a_petrozzelli	concentre-xml	0	Developer
irvazquez	comxmlrpc	1	
steinhaeuser	comwrapper	0	Developer
awegele	comwrapper	1	
kimgrasman	comunit	1	Developer
jimako	comunit	0	Developer
henblo	comunit	0	Developer
gpalli	comunit	0	Developer
gabog	comunit	0	Developer
exortech	comunit	1	Project Manager
theller	comtypes	1	All-Hands Person
danesparza	comresolver	1	
srikpen	comprgm	1	
betopadua	componentestiss	1	
okechina	complement	0	Developer
dmitryosmakov	complement	0	Developer
complement	complement	1	All-Hands Person
trifonnt	compilo	0	Advisor/Mentor/Consultant
teo_sarca	compilo	0	Developer
red1	compilo	0	Advisor/Mentor/Consultant
marlom9000	compilo	1	
globalqss	compilo	0	Developer
ebizvietnam	compiere-portal	1	Project Manager
ebiz_portal	compiere-portal	1	Project Manager
peterbraswell	compass	0	Developer
kimchy	compass	1	
alanhardy	compass	0	Developer
rafael-afonso	comparatorrefle	1	
lealcy	comos	1	Web Designer
alphakiller	comos	1	Project Manager
tmbarrett	commsvcfw	1	Project Manager
michaelegray	commsvcfw	0	Developer
karlmutch	commsvcfw	0	Developer
jgherman	commsvcfw	1	Project Manager
irvingd	commsvcfw	1	
hartnalk	commsvcfw	0	Developer
gathorne	commsvcfw	1	Project Manager
fergusod	commsvcfw	1	Project Manager
eagleg	commsvcfw	1	Project Manager
dmhubbar	commsvcfw	1	Project Manager
americ	commontest	1	
cybercerberus	commons	1	Project Manager
crzyltlman	commons	1	Project Manager
mcomtois	commons-vfsjdbc	1	
d4ljoyn	commonplace	1	Project Manager
johnqueso	commonjava	1	Project Manager
jcfreema	commondrops	1	
stupenrose	commondesktop	1	
billandersen	common-logic	1	
inowland	commentreflower	1	
psychotron	commbean	1	Project Manager
darkmonk2000	commandlinenet	1	
peterfriedland	comjava	1	
scraatz	comitatuscommon	1	
dennis-me	comicviewernet	1	
seroukhov	comedia	1	Project Manager
nilostep	comedia	0	Developer
merkuriev	comedia	0	Developer
irl2dvolaw	comconbre	1	
lvalics	comcenter	1	
jtiger2005	columns4eclipse	1	
ariejan	colt	1	
voins	colorifer	0	Developer
ievlev	colorifer	1	
daveewart	colordiff	1	
cfaerber	color-calc	1	
mfranceschini	collections15	0	Developer
lbrucher	collections15	0	Developer
kennethxu	collections15	1	
chrislambrou	collections15	1	
polushin	collections-j15	1	
melq	collection-cpp	1	
racon	coliseum	1	Developer
arc116	coliseum	1	Project Manager
rsutphin	coldunit	0	
mmhohman	coldunit	1	Project Manager
doylemikej	coldunit	0	Developer
jamesk89	coldetdotnet	1	
photoneffect	coldet	1	
esnard	colcows	1	Developer
dussere	colcows	1	Developer
the_mindstorm	coffeeby1	0	Developer
rjlorimer	coffeeby1	1	
bluffel	coengines	1	
c0demangler	codon	1	
cmmdevries	codfig	0	Developer
believe_in_geek	codfig	1	
conjurerprime	codex-2001	1	
amir	codeweb	1	
vchan	codev	0	Developer
ratchet	codev	1	Project Manager
narentumkur	codev	0	Developer
james_e	codev	0	Developer
dmcnicol	codev	0	Developer
beyond_wyc	codev	0	Developer
benrose111488	codev	0	Developer
aburrido1805	codev	0	Developer
adnova	codetohtml	1	
ruskim	codestore	1	
webspy	codestats	1	
hectorcaban	codesourceproj	1	
jbishop	codeslinger	1	
foosel	codeslang	1	
colinat	codeshine	1	
bourilkov	codesh	1	
hathanhthai	codesender	1	
yoya	coderidge	1	Developer
ueno	coderidge	1	
haruyama	coderidge	1	Developer
mondalaci	coder-keymaps	1	Project Manager
paulpreece	codepad	1	
kgilpin	codeometer	1	
stefano_verna	codenote	1	
anblin	codenote	1	Developer
codename21	codename21	1	
wza	codename-alex	1	Project Manager
